include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
,"Jul 6, 2026",Jul 10,,,,NPR,A major housing bill is set to become law at midnight — even though Trump says he won't sign,https://www.npr.org/2026/07/10/nx-s1-5885027/housing-bill-without-trump-signature,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,NPR,One U.S. visa program is growing rapidly. No one is happy with it,https://www.npr.org/2026/07/10/g-s1-132915/congress-agriculture-h2a-visa-program,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,NPR,Trump leans on 'communist' messaging as economic angst drives Democrats,https://www.npr.org/2026/07/10/nx-s1-5876512/trump-communist-messaging-economy-democrats,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,NPR,President Trump cleans house at the bipartisan Election Assistance Commission,https://www.npr.org/2026/07/09/nx-s1-5887690/trump-election-assistance-commission,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,NPR,"Trump's arch clears another hurdle, setting up a big debate: Do height limits apply?",https://www.npr.org/2026/07/09/nx-s1-5884728/trump-arch-height-act-commission-meeting,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,Politico,Southern Black leaders warn their power is on the line — and Democrats are looking elsewhere,https://www.politico.com/news/2026/07/10/black-leaders-democratic-party-redistricting-00991564,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,NBC News,"On the same day, a Florida airport and a Tennessee bridge are renamed after Trump",https://www.nbcnews.com/politics/donald-trump/palm-beach-international-airport-tennessee-bridge-renamed-rcna353784,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,NBC News,Palm Beach airport renamed after President Trump,https://www.nbcnews.com/now/video/palm-beach-airport-renamed-after-president-trump-266491973665,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,‘Brazen attempt to seize control’: Democratic leader vows to fight Trump’s election commission firings – live,https://www.theguardian.com/us-news/live/2026/jul/10/donald-trump-election-commission-republicans-midterms-graham-platner-iran-us-politics-latest-news-updates,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,The United States’ 250-year experiment has come to an end | Letters,https://www.theguardian.com/us-news/2026/jul/10/the-united-states-250-year-experiment-has-come-to-an-end,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,Trump accused of trying to ‘rig’ elections after firing federal commissioners,https://www.theguardian.com/us-news/2026/jul/10/trump-accused-election-rig-federal-commissioners-fired,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,How Trump’s intervention tarnished the World Cup – The Latest,https://www.theguardian.com/news/audio/2026/jul/10/how-trump-intervention-tarnished-world-cup-the-latest,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,Bipartisan housing bill to become law in a matter of hours – even if Trump refuses to sign it,https://www.theguardian.com/us-news/2026/jul/10/housing-bill-becomes-law-without-trump-veto,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,The Nato summit exposed the real source of Trump’s power | Robert Reich,https://www.theguardian.com/commentisfree/2026/jul/10/nato-summit-trump-power,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,Graham Platner is out. Troy Jackson should replace him | Dustin Guastella,https://www.theguardian.com/commentisfree/2026/jul/10/troy-jackson-maine-senate-candidate-populist,"Jul 10, 2026"
,"Jul 6, 2026",Jul 10,,,,The Guardian,Why was the pundit class so quick to defend Graham Platner? | Moira Donegan,https://www.theguardian.com/commentisfree/2026/jul/10/graham-platner-drops-out-defense,"Jul 10, 2026"
