include,week_of,dates,category,event,impact,outlet,srcdesc,url,srcdate
Y,"Aug 17, 2026",Aug 17,,,,NBC News,Trump ‘doesn’t have a plan’ on Iran: Voters in key Pennsylvania district upset with handling of war,https://www.nbcnews.com/meet-the-press/video/trump-doesn-t-have-a-plan-on-iran-voters-in-key-pennsylvania-district-upset-with-handling-of-war-268422725765,"Aug 17, 2026"
,"Aug 17, 2026",Aug 17,,,,ABC News,Lawsuit Challenges NH Student ID Voter Restriction,https://abcnews.com/Politics/wireStory/lawsuit-challenges-nh-student-id-voter-restriction-135721606,"Aug 17, 2026"
,"Aug 17, 2026",Aug 17,,,,ABC News,Supreme Court asked to review law requiring the Ten Commandments in public schools,https://abcnews.com/Politics/wireStory/supreme-court-asked-review-texas-law-requiring-ten-135719643,"Aug 17, 2026"
,"Aug 17, 2026",Aug 18,,,,Politico,Ossoff just went viral again. That was probably the point.,https://www.politico.com/news/2026/08/18/jon-ossoff-georgia-viral-controlled-campaign-01039859,"Aug 18, 2026"
,"Aug 17, 2026",Aug 18,,,,NBC News,‘Resign. You’re destroying the country’: Republican voter in key Ohio district slams Trump,https://www.nbcnews.com/meet-the-press/video/-resign-you-re-destroying-the-country-republican-voter-in-key-ohio-district-slams-trump-268491333778,"Aug 18, 2026"
,"Aug 17, 2026",Aug 18,,,,ABC News,Fake polling from mysterious company highlights danger of unvetted election surveys,https://abcnews.com/Politics/wireStory/fake-polling-mysterious-company-highlights-danger-unvetted-election-135754279,"Aug 18, 2026"
Y,"Aug 17, 2026",Aug 18,,,,ABC News,Congresswoman says target of ICE operation in fatal Maine shooting wasn't up for removal,https://abcnews.com/Politics/wireStory/congresswoman-target-ice-operation-fatal-maine-shooting-removal-135749324,"Aug 18, 2026"
Y,"Aug 17, 2026",Aug 18,,,,ABC News,Trump administration moves ahead to end roadless rule on national forests,https://abcnews.com/Politics/wireStory/trump-administration-moves-ahead-end-roadless-rule-national-135748769,"Aug 18, 2026"
Y,"Aug 17, 2026",Aug 18,,,,ABC News,"Senator presses Hegseth, Caine for commitment to keep US military out of the midterm elections",https://abcnews.com/Politics/wireStory/senator-presses-hegseth-caine-commitment-us-military-midterm-135745047,"Aug 18, 2026"
,"Aug 17, 2026",Aug 18,,,,ABC News,Appeals court says Trump-appointed US attorney in Nevada can’t legally serve in the role,https://abcnews.com/Politics/wireStory/appeals-court-trump-appointed-us-attorney-nevada-legally-135744203,"Aug 18, 2026"
